term	gene
K06261	NP_000164.5
K06263	NP_000165.1
K05771	NP_000167.1
K05761	NP_000168.1
K05768	NP_000168.1
K08017	NP_000168.1
K21456	NP_000169.1
K08737	NP_000170.1
K12321	NP_000171.1
K12322	NP_000171.1
K01195	NP_000172.2
K07515	NP_000173.2
K07509	NP_000174.1
K13824	NP_000175.1
K13825	NP_000175.1
K03912	NP_000176.2
K00451	NP_000178.2
K00844	NP_000179.2
K12407	NP_000179.2
K00844	NP_000180.2
K12407	NP_000180.2
K01749	NP_000181.2
K01640	NP_000182.2
K10179	NP_000183.2
K06224	NP_000184.1
K11988	NP_000184.1
K11989	NP_000184.1
K11990	NP_000184.1
K00760	NP_000185.1
K20193	NP_000186.2
K00071	NP_000187.3
K10207	NP_000188.1
K00070	NP_000189.1
K01565	NP_000190.1
K06486	NP_000192.2
K06490	NP_000192.2
K06523	NP_000192.2
K06769	NP_000192.2
K01136	NP_000193.1
K01217	NP_000194.2
K01333	NP_000195.3
K05070	NP_000197.1
K04526	NP_000198.1
K04527	NP_000199.2
K05086	NP_000199.2
K05087	NP_000199.2
K07594	NP_000200.1
K06482	NP_000201.2
K06485	NP_000201.2
K06583	NP_000201.2
K05719	NP_000202.3
K06464	NP_000202.3
K06493	NP_000202.3
K05719	NP_000203.2
K06464	NP_000203.2
K06493	NP_000203.2
K06525	NP_000204.3
K06052	NP_000205.1
K21635	NP_000205.1
K04447	NP_000206.2
K11217	NP_000206.2
K11218	NP_000206.2
K14165	NP_000206.2
K04874	NP_000208.2
K04875	NP_000208.2
K04876	NP_000208.2
K04877	NP_000208.2
K04878	NP_000208.2
K04881	NP_000208.2
K04894	NP_000210.2
K04995	NP_000211.1
K00846	NP_000212.1
K05091	NP_000213.1
K07604	NP_000215.1
K07604	NP_000217.2
K07605	NP_000217.2
K06240	NP_000218.3
K06244	NP_000219.2
K00650	NP_000220.1
K06129	NP_000220.1
K05424	NP_000221.1
K12563	NP_000222.2
K12564	NP_000222.2
K12566	NP_000223.1
K04247	NP_000224.2
K04248	NP_000224.2
K04249	NP_000224.2
K10747	NP_000225.1
K16679	NP_000225.1
K01052	NP_000226.2
K14452	NP_000226.2
K19406	NP_000226.2
K22283	NP_000227.2
K01059	NP_000228.1
K04905	NP_000229.1
K04909	NP_000229.1
K04910	NP_000229.1
K13915	NP_000230.1
K00274	NP_000231.1
K03991	NP_000233.1
K12803	NP_000234.1
K14970	NP_000235.3
K05099	NP_000236.2
K05100	NP_000236.2
K08060	NP_000237.2
K07985	NP_000238.1
K09105	NP_000239.1
K09455	NP_000239.1
K15590	NP_000239.1
K08734	NP_000240.1
K10788	NP_000241.1
K10789	NP_000241.1
K08735	NP_000242.1
K01108	NP_000243.1
K18081	NP_000243.1
K14463	NP_000244.2
K00548	NP_000245.2
K01847	NP_000246.2
K12568	NP_000247.2
K10352	NP_000248.2
K17751	NP_000248.2
K12749	NP_000249.1
K12750	NP_000249.1
K10357	NP_000250.3
K10359	NP_000251.3
K21868	NP_000251.3
K01204	NP_000253.1
K01205	NP_000254.2
K06225	NP_000255.2
K11101	NP_000255.2
K08011	NP_000256.4
K16684	NP_000259.1
K00940	NP_000260.1
K12385	NP_000262.2
K19657	NP_000263.2
K08470	NP_000264.2
K00819	NP_000265.1
K01099	NP_000267.2
K00500	NP_000268.1
K00502	NP_000268.1
K09383	NP_000269.3
K15608	NP_000269.3
K08031	NP_000271.1
K01724	NP_000272.1
K01965	NP_000273.2
K06235	NP_000273.2
K08718	NP_000274.3
K13756	NP_000274.3
K00161	NP_000275.1
K06106	NP_000276.2
K14213	NP_000276.2
K13345	NP_000277.1
K02975	NP_000278.3
K13339	NP_000278.3
K13341	NP_000279.1
K00850	NP_000280.1
K01834	NP_000281.2
K00927	NP_000282.1
K07190	NP_000283.1
K07190	NP_000284.1
K00871	NP_000285.1
K04986	NP_000288.1
K04990	NP_000288.1
K10387	NP_000290.2
K01047	NP_000291.1
K01315	NP_000292.1
K09644	NP_000292.1
K00473	NP_000293.2
K13645	NP_000293.2
K13646	NP_000293.2
K13647	NP_000293.2
K15174	NP_000293.2
K17497	NP_000294.1
K19289	NP_000295.1
K01045	NP_000296.2
K09363	NP_000297.1
K09365	NP_000298.3
K09645	NP_000299.3
K13289	NP_000299.3
K16298	NP_000299.3
K00231	NP_000300.1
K06171	NP_000300.1
K01074	NP_000301.1
K03006	NP_000302.1
K05634	NP_000302.1
K01344	NP_000303.1
K03908	NP_000304.2
K05261	NP_000306.1
K04585	NP_000307.1
K04586	NP_000307.1
K04589	NP_000307.1
K01737	NP_000308.1
K06664	NP_000309.2
K00357	NP_000311.2
K06618	NP_000312.2
K17343	NP_000313.2
K06580	NP_000315.2
K04686	NP_000316.2
K09356	NP_000316.2
K09357	NP_000316.2
K19625	NP_000317.1
K17343	NP_000318.2
K17344	NP_000318.2
K19607	NP_000319.1
K10252	NP_000320.1
K11158	NP_000320.1
K20991	NP_000320.1
K11318	NP_000324.1
K04833	NP_000325.4
K04834	NP_000325.4
K04836	NP_000325.4
K04837	NP_000325.4
K04838	NP_000325.4
K04840	NP_000325.4
K04841	NP_000325.4
K04833	NP_000326.2
K04834	NP_000326.2
K04836	NP_000326.2
K04837	NP_000326.2
K04838	NP_000326.2
K04840	NP_000326.2
K04841	NP_000326.2
K03440	NP_000327.2
K04825	NP_000327.2
K12563	NP_000328.2
K12564	NP_000328.2
K10951	NP_000329.2
K14425	NP_000329.2
K10951	NP_000330.3
K14426	NP_000330.3
K07191	NP_000331.1
K07299	NP_000331.1
K07593	NP_000331.1
K08142	NP_000331.1
K01187	NP_000332.2
K14210	NP_000332.2
K06573	NP_000333.1
K13856	NP_000333.1
K14158	NP_000334.1
K14382	NP_000334.1
K14383	NP_000334.1
K14384	NP_000334.1
K14389	NP_000334.1
K14391	NP_000334.1
K04528	NP_000336.1
K09270	NP_000337.1
K18435	NP_000337.1
K12343	NP_000339.2
K12344	NP_000339.2
K16931	NP_000340.2
K05641	NP_000341.2
K05644	NP_000341.2
K01131	NP_000342.3
K01132	NP_000342.3
K12374	NP_000342.3
K18222	NP_000342.3
K05032	NP_000343.2
K05033	NP_000343.2
K05665	NP_000343.2
K05666	NP_000343.2
K05667	NP_000343.2
K00815	NP_000344.1
K04525	NP_000345.2
K20734	NP_000345.2
K14619	NP_000346.2
K14562	NP_000347.2
K19519	NP_000349.1
K00501	NP_000351.2
K03907	NP_000352.1
K16866	NP_000353.1
K10371	NP_000354.4
K12043	NP_000354.4
K12044	NP_000354.4
K12045	NP_000355.2
K12046	NP_000355.2
K01803	NP_000356.1
K09290	NP_000357.3
K10373	NP_000357.3
K10374	NP_000357.3
K10375	NP_000357.3
K00569	NP_000358.1
K07206	NP_000359.1
K04247	NP_000360.2
K04248	NP_000360.2
K04249	NP_000360.2
K20731	NP_000362.1
K00505	NP_000363.1
K13421	NP_000364.1
K01599	NP_000365.3
K01719	NP_000366.1
K08539	NP_000367.1
K14035	NP_000367.1
K05747	NP_000368.1
K09234	NP_000369.4
K00106	NP_000370.2
K00157	NP_000370.2
K10847	NP_000371.1
K08285	NP_000372.1
K10647	NP_000372.1
K00128	NP_000373.1
K00129	NP_000373.1
K04513	NP_000373.1
K10603	NP_000374.1
K01372	NP_000377.1
K15109	NP_000378.1
K04605	NP_000379.3
K04608	NP_000379.3
K04612	NP_000379.3
K06625	NP_000380.1
K01279	NP_000382.3
K05032	NP_000383.2
K05665	NP_000383.2
K05666	NP_000383.2
K05667	NP_000383.2
K09541	NP_000385.1
K09542	NP_000385.1
K04738	NP_000386.1
K01365	NP_000387.1
K01371	NP_000387.1
K08008	NP_000388.2
K21421	NP_000388.2
K21422	NP_000388.2
K21423	NP_000388.2
K00326	NP_000389.1
K12496	NP_000390.2
K10844	NP_000391.1
K02367	NP_000392.3
K00036	NP_000393.4
K01784	NP_000394.2
K12309	NP_000395.3
K12383	NP_000396.2
K04280	NP_000397.1
K06262	NP_000398.1
K00111	NP_000399.3
K08328	NP_000400.2
K01942	NP_000402.3
K00044	NP_000404.2
K12405	NP_000405.1
K08039	NP_000406.1
K05132	NP_000407.1
K05068	NP_000408.1
K05071	NP_000409.1
K06476	NP_000410.2
K06487	NP_000410.2
K06584	NP_000410.2
K07604	NP_000412.4
K07604	NP_000413.1
K07605	NP_000413.1
K07604	NP_000414.2
K07605	NP_000414.2
K07605	NP_000415.2
K06550	NP_000416.1
K06756	NP_000416.1
K06757	NP_000416.1
K06758	NP_000416.1
K06760	NP_000416.1
K05637	NP_000417.3
K06240	NP_000417.3
K10385	NP_000418.2
K08023	NP_000419.1
K19559	NP_000419.1
K00789	NP_000420.1
K16794	NP_000421.1
K00869	NP_000422.1
K10351	NP_000423.2
K08010	NP_000424.2
K02599	NP_000426.2
K20994	NP_000426.2
K20995	NP_000426.2
K01027	NP_000427.1
K01062	NP_000428.2
K08031	NP_000429.2
K09381	NP_000429.2
K01349	NP_000430.3
K01359	NP_000430.3
K08654	NP_000430.3
K08672	NP_000430.3
K08718	NP_000431.2
K13756	NP_000431.2
K14453	NP_000432.1
K14700	NP_000432.1
K14701	NP_000432.1
K14702	NP_000432.1
K14703	NP_000432.1
K14704	NP_000432.1
K14707	NP_000432.1
K06471	NP_000433.4
K05658	NP_000434.1
K05659	NP_000434.1
K05660	NP_000434.1
K05664	NP_000434.1
K08635	NP_000435.3
K08636	NP_000435.3
K10382	NP_000436.2
K10388	NP_000436.2
K19827	NP_000436.2
K01045	NP_000437.3
K04505	NP_000438.2
K04522	NP_000438.2
K10628	NP_000439.2
K08061	NP_000440.1
K06494	NP_000441.2
K06495	NP_000441.2
K06496	NP_000441.2
K17495	NP_000441.2
K14342	NP_000443.2
K14346	NP_000443.2
K14385	NP_000444.1
K04565	NP_000445.1
K07298	NP_000446.1
K00387	NP_000447.2
K07292	NP_000448.3
K07295	NP_000448.3
K08037	NP_000448.3
K08542	NP_000448.3
K08704	NP_000448.3
K05120	NP_000450.3
K05121	NP_000450.3
K05695	NP_000450.3
K06854	NP_000451.1
K05547	NP_000452.2
K08362	NP_000452.2
K10587	NP_000453.2
K00699	NP_000454.1
K04628	NP_000454.1
K10683	NP_000456.2
K05093	NP_000457.1
K13338	NP_000457.1
K09069	NP_000465.1
K08562	NP_000466.2
K00939	NP_000467.1
K16141	NP_000468.1
K16144	NP_000468.1
K01077	NP_000469.3
K04665	NP_000470.3
K01490	NP_000471.1
K00605	NP_000472.2
K08760	NP_000473.2
K22287	NP_000474.2
K04520	NP_000475.1
K08117	NP_000475.1
K00759	NP_000476.1
K09865	NP_000477.1
K01131	NP_000478.3
K01134	NP_000478.3
K12381	NP_000478.3
K03911	NP_000479.1
K04525	NP_000479.1
K13963	NP_000479.1
K10779	NP_000480.3
K05242	NP_000481.2
K03987	NP_000482.3
K05031	NP_000483.3
K19479	NP_000484.2
K07603	NP_000485.3
K06237	NP_000486.1
K00497	NP_000488.3
K07433	NP_000488.3
K00497	NP_000489.3
K07433	NP_000489.3
K07408	NP_000490.1
K17813	NP_000490.1
K17814	NP_000490.1
K14211	NP_000492.2
K10788	NP_000493.1
K10789	NP_000493.1
K15616	NP_000494.2
K17622	NP_000494.2
K01314	NP_000495.1
K01328	NP_000496.2
K01343	NP_000496.2
K09631	NP_000496.2
K01313	NP_000497.1
K03841	NP_000498.2
K03903	NP_000499.1
K03905	NP_000499.1
K03903	NP_000500.2
K03905	NP_000500.2
K05250	NP_000501.1
K00718	NP_000502.4
K01132	NP_000503.1
K12381	NP_000503.1
K04251	NP_000504.1
K05452	NP_000505.1
K05438	NP_000506.2
K04632	NP_000507.1
K04633	NP_000507.1
K13822	NP_000508.1
K13826	NP_000508.1
K13823	NP_000509.1
K13825	NP_000509.1
K16151	NP_000509.1
K13823	NP_000510.1
K13825	NP_000510.1
K16151	NP_000510.1
K12373	NP_000511.2
K12373	NP_000512.2
K09298	NP_000513.2
K09298	NP_000514.2
K04153	NP_000515.2
K05004	NP_000516.3
K07604	NP_000517.3
K12473	NP_000518.1
K20052	NP_000518.1
K20053	NP_000518.1
K12311	NP_000519.2
K04200	NP_000520.1
K06770	NP_000521.2
K00611	NP_000522.3
K01966	NP_000523.2
K17271	NP_000524.3
K10864	NP_000525.1
K10858	NP_000526.2
K10988	NP_000527.2
K01380	NP_000528.1
K08063	NP_000529.1
K04250	NP_000530.1
K04256	NP_000530.1
K04961	NP_000531.2
K04962	NP_000531.2
K04963	NP_000531.2
K17675	NP_000531.2
K12350	NP_000534.3
K08034	NP_000536.6
K08036	NP_000536.6
K04451	NP_000537.3
K10148	NP_000537.3
K07207	NP_000539.2
K05251	NP_000540.2
K00506	NP_000541.1
K01827	NP_000541.1
K03871	NP_000542.1
K03900	NP_000543.3
K13908	NP_000543.3
K21125	NP_000543.3
K10900	NP_000544.2
K09337	NP_000545.1
K16579	NP_000546.2
K04664	NP_000548.2
K13822	NP_000549.1
K13826	NP_000549.1
K13824	NP_000550.2
K13825	NP_000550.2
K06489	NP_000551.1
K00799	NP_000552.2
K03997	NP_000553.1
K05067	NP_000555.2
K05055	NP_000556.1
K06498	NP_000557.1
K12560	NP_000557.1
K16143	NP_000558.2
K06463	NP_000560.7
K06463	NP_000561.3
K05443	NP_000563.1
K04006	NP_000565.1
K04383	NP_000566.3
K04519	NP_000567.1
K05481	NP_000568.1
K05483	NP_000568.1
K12347	NP_000569.3
K21398	NP_000569.3
K04176	NP_000570.1
K04177	NP_000570.1
K04178	NP_000570.1
K04179	NP_000570.1
K04180	NP_000570.1
K04183	NP_000570.1
K00432	NP_000572.2
K06250	NP_000573.1
K12258	NP_000574.2
K10030	NP_000575.1
K05433	NP_000576.1
K05429	NP_000577.2
K03995	NP_000578.2
K03996	NP_000578.2
K04736	NP_000579.2
K05430	NP_000580.1
K05432	NP_000581.1
K04391	NP_000582.1
K10138	NP_000589.2
K05405	NP_000591.1
K05460	NP_000592.3
K03982	NP_000593.1
K13240	NP_000594.2
K13241	NP_000594.2
K13242	NP_000594.2
K05414	NP_000596.2
K03173	NP_000597.2
K03999	NP_000597.2
K17308	NP_000598.2
K17308	NP_000599.1
K10031	NP_000600.1
K06256	NP_000601.3
K04008	NP_000602.1
K13769	NP_000603.1
K18977	NP_000604.1
K05420	NP_000605.1
K06491	NP_000606.3
K06454	NP_000607.1
K08440	NP_000607.1
K12347	NP_000608.1
K21398	NP_000608.1
K05459	NP_000609.1
K04687	NP_000610.2
K13240	NP_000611.1
K13241	NP_000611.1
K13242	NP_000611.1
K04157	NP_000612.1
K03916	NP_000614.1
K03913	NP_000615.3
K04525	NP_000615.3
K13240	NP_000616.3
K13241	NP_000616.3
K13242	NP_000616.3
K06507	NP_000617.1
K08023	NP_000618.4
K19559	NP_000618.4
K05130	NP_000619.3
K05135	NP_000619.3
K05130	NP_000620.2
K06461	NP_000623.2
K06462	NP_000623.2
K06594	NP_000623.2
K02161	NP_000624.2
K02163	NP_000624.2
K04570	NP_000624.2
K04175	NP_000625.1
K05050	NP_000625.1
K09173	NP_000626.2
K04564	NP_000627.2
K00383	NP_000628.2
K06251	NP_000629.3
K04389	NP_000630.1
K05077	NP_000631.1
K05417	NP_000632.1
K04011	NP_000642.3
K04012	NP_000642.3
K17495	NP_000642.3
K06495	NP_000646.3
K13375	NP_000651.3
K02940	NP_000652.2
K00622	NP_000653.3
K13524	NP_000654.2
K01049	NP_000656.1
K01050	NP_000656.1
K01436	NP_000657.1
K14677	NP_000657.1
K13951	NP_000658.1
K13951	NP_000659.2
K13951	NP_000660.1
K13980	NP_000661.2
K00121	NP_000662.3
K13952	NP_000663.1
K13951	NP_000664.3
K04265	NP_000665.1
K04266	NP_000666.2
K04267	NP_000666.2
K04266	NP_000667.1
K04267	NP_000667.1
K04268	NP_000668.1
K04135	NP_000669.1
K04136	NP_000669.1
K04137	NP_000669.1
K04153	NP_000669.1
K04135	NP_000670.1
K04136	NP_000670.1
K04137	NP_000670.1
K04153	NP_000670.1
K04135	NP_000671.2
K04136	NP_000671.2
K04137	NP_000671.2
K04153	NP_000671.2
K04138	NP_000672.3
K04139	NP_000672.3
K04140	NP_000672.3
K04138	NP_000673.2
K04139	NP_000673.2
K04140	NP_000673.2
K04138	NP_000674.2
K04139	NP_000674.2
K04140	NP_000674.2
K04141	NP_000675.1
K04142	NP_000675.1
K04166	NP_000676.1
K04218	NP_000676.1
K04221	NP_000676.1
K04167	NP_000677.2
K01251	NP_000678.1
K00643	NP_000679.1
K00128	NP_000680.2
K07249	NP_000680.2
K00128	NP_000681.2
K07249	NP_000681.2
K00128	NP_000682.3
K00129	NP_000682.3
K04513	NP_000682.3
K00128	NP_000683.3
K07249	NP_000683.3
K00129	NP_000684.2
K00128	NP_000685.1
K00129	NP_000685.1
K04513	NP_000685.1
K00149	NP_000687.3
K00458	NP_000688.2
K00460	NP_000688.2
K01176	NP_000690.1
K17091	NP_000691.1
K01539	NP_000692.2
K01539	NP_000693.1
K01542	NP_000695.2
K04226	NP_000697.1
K04227	NP_000698.1
K00166	NP_000700.1
K21439	NP_000700.1
K03915	NP_000701.2
K03916	NP_000701.2
K00214	NP_000703.2
K05901	NP_000704.1
K05770	NP_000705.2
K04002	NP_000706.1
K04011	NP_000706.1
K04012	NP_000706.1
K04002	NP_000707.1
K04003	NP_000707.1
K01672	NP_000708.1
K18245	NP_000708.1
K18246	NP_000708.1
K04344	NP_000709.1
K04849	NP_000709.1
K04852	NP_000709.1
K04850	NP_000711.1
K04851	NP_000711.1
K04853	NP_000711.1
K04857	NP_000711.1
K04344	NP_000712.2
K04849	NP_000712.2
K04852	NP_000712.2
K04858	NP_000713.2
K04859	NP_000713.2
K04862	NP_000714.3
K04863	NP_000714.3
K04865	NP_000714.3
K04863	NP_000715.2
K04864	NP_000716.2
K04865	NP_000716.2
K04862	NP_000717.2
K04863	NP_000717.2
K04865	NP_000717.2
K04866	NP_000718.1
K05226	NP_000720.1
K04194	NP_000721.1
K04195	NP_000721.1
K04196	NP_000721.1
K08378	NP_000721.1
K06450	NP_000723.1
K06452	NP_000723.1
K06451	NP_000724.1
K06453	NP_000725.1
K08522	NP_000726.1
K08521	NP_000728.1
K10045	NP_000728.1
K04129	NP_000729.2
K04131	NP_000729.2
K04133	NP_000729.2
K04130	NP_000730.1
K04132	NP_000730.1
K04129	NP_000731.1
K04131	NP_000731.1
K04133	NP_000731.1
K04130	NP_000732.2
K04132	NP_000732.2
K04804	NP_000733.2
K04805	NP_000733.2
K04806	NP_000733.2
K04808	NP_000733.2
K04813	NP_000733.2
K04815	NP_000733.2
K05312	NP_000733.2
K04804	NP_000734.2
K04805	NP_000734.2
K04806	NP_000734.2
K04808	NP_000734.2
K04813	NP_000734.2
K04815	NP_000734.2
K05312	NP_000734.2
K04804	NP_000735.1
K04805	NP_000735.1
K04806	NP_000735.1
K04808	NP_000735.1
K04813	NP_000735.1
K04815	NP_000735.1
K05312	NP_000735.1
K04807	NP_000736.2
K04804	NP_000739.1
K04805	NP_000739.1
K04806	NP_000739.1
K04808	NP_000739.1
K04813	NP_000739.1
K04815	NP_000739.1
K05312	NP_000739.1
K04814	NP_000740.1
K04804	NP_000741.1
K04805	NP_000741.1
K04806	NP_000741.1
K04808	NP_000741.1
K04813	NP_000741.1
K04815	NP_000741.1
K05312	NP_000741.1
K04816	NP_000742.1
K00545	NP_000745.1
K00624	NP_000746.3
K05256	NP_000747.1
K05453	NP_000748.4
K05427	NP_000749.2
K05423	NP_000750.1
K05061	NP_000751.1
K07409	NP_000752.2
K07411	NP_000753.3
K07416	NP_000753.3
K07417	NP_000753.3
K17683	NP_000753.3
K17684	NP_000753.3
K17685	NP_000753.3
K17709	NP_000753.3
K17718	NP_000753.3
K17719	NP_000753.3
K17720	NP_000753.3
K17721	NP_000753.3
K17859	NP_000753.3
K07411	NP_000755.2
K07416	NP_000755.2
K07417	NP_000755.2
K17683	NP_000755.2
K17684	NP_000755.2
K17685	NP_000755.2
K17709	NP_000755.2
K17718	NP_000755.2
K17719	NP_000755.2
K17720	NP_000755.2
K17721	NP_000755.2
K17859	NP_000755.2
K01832	NP_000756.3
K07424	NP_000756.3
K14999	NP_000756.3
K17689	NP_000756.3
K17690	NP_000756.3
K17691	NP_000756.3
K17692	NP_000756.3
K17860	NP_000756.3
K07411	NP_000757.2
K07416	NP_000757.2
K07417	NP_000757.2
K17683	NP_000757.2
K17684	NP_000757.2
K17685	NP_000757.2
K17709	NP_000757.2
K17718	NP_000757.2
K17719	NP_000757.2
K17720	NP_000757.2
K17721	NP_000757.2
K17859	NP_000757.2
K07411	NP_000758.1
K07412	NP_000758.1
K07416	NP_000758.1
K07417	NP_000758.1
K17683	NP_000758.1
K17684	NP_000758.1
K17685	NP_000758.1
K17709	NP_000758.1
K17718	NP_000758.1
K17719	NP_000758.1
K17720	NP_000758.1
K17721	NP_000758.1
K17859	NP_000758.1
K07413	NP_000760.1
K07416	NP_000760.1
K07417	NP_000760.1
K17683	NP_000760.1
K17684	NP_000760.1
K17685	NP_000760.1
K17709	NP_000760.1
K17718	NP_000760.1
K17719	NP_000760.1
K17720	NP_000760.1
K17721	NP_000760.1
K17853	NP_000760.1
K17859	NP_000760.1
K07413	NP_000761.3
K07416	NP_000761.3
K07417	NP_000761.3
K17683	NP_000761.3
K17684	NP_000761.3
K17685	NP_000761.3
K17709	NP_000761.3
K17718	NP_000761.3
K17719	NP_000761.3
K17720	NP_000761.3
K17721	NP_000761.3
K17853	NP_000761.3
K17859	NP_000761.3
K07413	NP_000762.2
K07416	NP_000762.2
K07417	NP_000762.2
K17683	NP_000762.2
K17684	NP_000762.2
K17685	NP_000762.2
K17709	NP_000762.2
K17718	NP_000762.2
K17719	NP_000762.2
K17720	NP_000762.2
K17721	NP_000762.2
K17853	NP_000762.2
K17859	NP_000762.2
K07413	NP_000763.1
K07416	NP_000763.1
K07417	NP_000763.1
K17683	NP_000763.1
K17684	NP_000763.1
K17685	NP_000763.1
K17709	NP_000763.1
K17718	NP_000763.1
K17719	NP_000763.1
K17720	NP_000763.1
K17721	NP_000763.1
K17853	NP_000763.1
K17859	NP_000763.1
K07415	NP_000764.1
K07416	NP_000765.2
K07417	NP_000765.2
K17683	NP_000765.2
K17684	NP_000765.2
K17685	NP_000765.2
K17709	NP_000765.2
K17718	NP_000765.2
K17719	NP_000765.2
K17720	NP_000765.2
K17721	NP_000765.2
K17859	NP_000765.2
K07418	NP_000766.2
K01832	NP_000768.1
K07424	NP_000768.1
K14999	NP_000768.1
K17689	NP_000768.1
K17690	NP_000768.1
K17691	NP_000768.1
K17692	NP_000768.1
K17860	NP_000768.1
K07425	NP_000769.2
